name,price,stock,photo,URL,website,timestamp,brand,ram_gb,storage_gb
Apple Ipad 10Th  A16,"EGP 16,500",IN Stock,/_next/image?url=https%3A%2F%2Fdwecxxryy5p59.cloudfront.net%2Fcatalogs%2Fc%2F9%2F3%2Fb%2Fc93b3fe800866de1f737cd2fcb2c6a39a0e42ed2_d72aa58e134ba0afbabd440f67818438c8ff2c8f2f3c0107c914e960c5d933d7.jpeg&w=640&q=75,https://btech.com/en/p/84acc6f9-fbef-4bb6-86a3-66ea7566df60?offering_id=8e375581-ae1e-469f-9095-20be323535bd,BTECH,1/1/2026,Apple,4,64
Apple Ipad 10Th  A16,"EGP 16,700",IN Stock,/_next/image?url=https%3A%2F%2Fdwecxxryy5p59.cloudfront.net%2Fcatalogs%2Fc%2F9%2F3%2Fb%2Fc93b3fe800866de1f737cd2fcb2c6a39a0e42ed2_d72aa58e134ba0afbabd440f67818438c8ff2c8f2f3c0107c914e960c5d933d7.jpeg&w=640&q=75,https://btech.com/en/p/84acc6f9-fbef-4bb6-86a3-66ea7566df60?offering_id=8e375581-ae1e-469f-9095-20be323535bd,BTECH,1/24/2026,Apple,4,64
Apple Ipad 2025 A16 ,"EGP 17,749",In stock,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/0898331/1.jpg?1425,https://www.jumia.com.eg/apple-ipad-2025-11th-generation-a16-11-inch-wi-fi-128gb-silver-international-version-133898043.html,Jumia,12/24/2025,Apple,6,128
Apple Ipad 2025 A16 ,"EGP 17,755",In stock,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/0898331/1.jpg?1425,https://www.jumia.com.eg/apple-ipad-2025-11th-generation-a16-11-inch-wi-fi-128gb-silver-international-version-133898043.html,Jumia,1/19/2026,Apple,8,128
Apple Ipad 2025 A16 ,"EGP 17,759",In stock,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/0898331/1.jpg?1425,https://www.jumia.com.eg/apple-ipad-2025-11th-generation-a16-11-inch-wi-fi-128gb-silver-international-version-133898043.html,Jumia,12/20/2025,Apple,8,128
Apple Ipad 2025 A16 ,"EGP 17,855",In stock,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/4798331/1.jpg?8539,https://www.jumia.com.eg/apple-ipad-2025-11th-generation-a16-11-inch-wi-fi-128gb-blue-international-version-133897452.html,Jumia,1/1/2026,Apple,8,128
Apple Ipad 2025 A16 ,"EGP 17,899",In stock,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/0898331/1.jpg?1425,https://www.jumia.com.eg/apple-ipad-2025-11th-generation-a16-11-inch-wi-fi-128gb-silver-international-version-133898043.html,Jumia,1/21/2026,Apple,6,128
Apple Ipad 2025 A16 ,"EGP 17,990",In stock,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/5459331/1.jpg?5406,https://www.jumia.com.eg/apple-ipad-a16-wi-fi-128-gb-blue-no-sim-card-133954596.html,Jumia,12/31/2025,Apple,8,128
Apple Ipad 2025 A16 ,"EGP 17,998",In stock,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/5459331/1.jpg?5406,https://www.jumia.com.eg/apple-ipad-a16-wi-fi-128-gb-blue-no-sim-card-133954596.html,Jumia,12/14/2025,Apple,8,128
Apple Ipad 2025 A16 ,"EGP 17,999",In stock,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/4798331/1.jpg?8539,https://www.jumia.com.eg/apple-ipad-2025-11th-generation-a16-11-inch-wi-fi-128gb-blue-international-version-133897452.html,Jumia,12/14/2025,Apple,6,128
Apple Ipad 2025 A16 ,"EGP 17,999",In stock,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/0898331/1.jpg?1425,https://www.jumia.com.eg/apple-ipad-2025-11th-generation-a16-11-inch-wi-fi-128gb-silver-international-version-133898043.html,Jumia,12/14/2025,Apple,6,128
